LCLid,Acorn,cluster_id
MAC000686,ACORN-E,0
MAC000687,ACORN-K,1
MAC000688,ACORN-H,2
MAC000689,ACORN-C,0
MAC000690,ACORN-Q,1
MAC000691,ACORN-G,2
MAC000692,ACORN-D,0
MAC000693,ACORN-E,0
MAC000694,ACORN-L,1
MAC000695,ACORN-Q,1
MAC000696,ACORN-Q,1
MAC000697,ACORN-E,0
MAC000698,ACORN-F,2
MAC000699,ACORN-G,2
MAC000700,ACORN-E,2
MAC000701,ACORN-E,2
MAC000702,ACORN-Q,1
MAC000703,ACORN-Q,1
MAC000704,ACORN-Q,1
MAC000705,ACORN-L,1
MAC000706,ACORN-E,2
MAC000707,ACORN-N,1
MAC000708,ACORN-Q,1
MAC000709,ACORN-E,2
MAC000710,ACORN-F,2
MAC000711,ACORN-Q,1
MAC000712,ACORN-L,1
MAC000713,ACORN-A,2
MAC000714,ACORN-Q,1
MAC000715,ACORN-D,0
MAC000716,ACORN-E,2
MAC000717,ACORN-Q,1
MAC000718,ACORN-Q,1
MAC000719,ACORN-E,2
MAC000720,ACORN-K,1
MAC000721,ACORN-F,2
MAC000722,ACORN-E,2
MAC000723,ACORN-H,2
MAC000724,ACORN-L,1
MAC000725,ACORN-F,2
MAC000726,ACORN-I,2
MAC000727,ACORN-D,2
MAC000728,ACORN-F,2
MAC000729,ACORN-E,2
MAC000730,ACORN-E,0
MAC000731,ACORN-L,1
MAC000732,ACORN-E,2
MAC000733,ACORN-E,2
MAC000734,ACORN-K,1
MAC000735,ACORN-Q,1
MAC000736,ACORN-H,0
MAC000737,ACORN-D,0
MAC000738,ACORN-E,2
MAC000739,ACORN-L,1
MAC000740,ACORN-Q,1
MAC000741,ACORN-D,2
MAC000742,ACORN-E,2
MAC000743,ACORN-Q,1
MAC000744,ACORN-C,2
MAC000745,ACORN-E,2
MAC000746,ACORN-Q,1
MAC000747,ACORN-E,2
MAC000748,ACORN-Q,1
MAC000749,ACORN-E,0
MAC000750,ACORN-L,1
MAC000751,ACORN-K,1
MAC000752,ACORN-Q,1
MAC000753,ACORN-E,2
MAC000754,ACORN-G,2
MAC000755,ACORN-E,0
MAC000756,ACORN-E,2
MAC000757,ACORN-O,1
MAC000758,ACORN-Q,1
MAC000759,ACORN-Q,1
MAC000760,ACORN-Q,1
MAC000761,ACORN-K,1
MAC000762,ACORN-E,2
MAC000763,ACORN-L,1
MAC000764,ACORN-E,2
MAC000765,ACORN-E,2
MAC000766,ACORN-E,2
MAC000767,ACORN-E,2
MAC000768,ACORN-A,2
MAC000769,ACORN-F,2
MAC000770,ACORN-E,2
MAC000771,ACORN-Q,1
MAC000772,ACORN-E,2
MAC000773,ACORN-H,2
MAC000774,ACORN-E,2
MAC000775,ACORN-E,2
MAC000776,ACORN-D,2
MAC000777,ACORN-E,2
MAC000778,ACORN-A,0
MAC000779,ACORN-L,1
MAC000780,ACORN-E,0
MAC000781,ACORN-Q,1
MAC000782,ACORN-E,2
MAC000783,ACORN-F,2
MAC000784,ACORN-H,0
MAC000785,ACORN-E,2
MAC000786,ACORN-O,1
MAC000787,ACORN-F,2
MAC000788,ACORN-F,2
MAC000789,ACORN-F,2
MAC000790,ACORN-L,1
MAC000791,ACORN-E,0
MAC000792,ACORN-L,1
MAC000793,ACORN-J,2
MAC000794,ACORN-F,2
MAC000795,ACORN-F,2
MAC000796,ACORN-Q,1
MAC000797,ACORN-A,2
MAC000798,ACORN-C,2
MAC000799,ACORN-F,2
MAC000800,ACORN-H,0
MAC000801,ACORN-L,1
MAC000802,ACORN-K,0
MAC000803,ACORN-D,2
MAC000804,ACORN-E,2
MAC000805,ACORN-J,2
MAC000806,ACORN-K,0
MAC000807,ACORN-J,2
MAC000808,ACORN-D,0
MAC000809,ACORN-H,2
MAC000810,ACORN-Q,1
MAC000811,ACORN-K,1
MAC000812,ACORN-E,2
MAC000813,ACORN-F,2
MAC000814,ACORN-D,2
MAC000815,ACORN-D,2
MAC000816,ACORN-A,2
MAC000817,ACORN-E,2
MAC000818,ACORN-N,1
MAC000819,ACORN-E,2
MAC000820,ACORN-Q,1
MAC000821,ACORN-F,2
MAC000822,ACORN-E,2
MAC000823,ACORN-E,2
MAC000824,ACORN-I,2
MAC000825,ACORN-E,0
MAC000826,ACORN-F,0
MAC000827,ACORN-K,0
MAC000828,ACORN-E,0
MAC000829,ACORN-L,1
MAC000830,ACORN-D,0
MAC000831,ACORN-E,2
MAC000832,ACORN-K,1
MAC000833,ACORN-I,0
MAC000834,ACORN-F,2
MAC000835,ACORN-G,2
MAC000836,ACORN-Q,1
MAC000837,ACORN-E,2
MAC000838,ACORN-Q,1
MAC000839,ACORN-Q,1
MAC000840,ACORN-E,2
MAC000841,ACORN-F,2
MAC000842,ACORN-K,1
MAC000843,ACORN-Q,1
MAC000844,ACORN-H,2
MAC000845,ACORN-F,2
MAC000846,ACORN-J,2
MAC000847,ACORN-Q,1
MAC000848,ACORN-E,0
MAC000849,ACORN-E,2
MAC000850,ACORN-A,0
MAC000851,ACORN-E,2
MAC000852,ACORN-K,1
MAC000853,ACORN-Q,1
MAC000854,ACORN-I,2
MAC000855,ACORN-E,0
MAC000856,ACORN-F,2
MAC000857,ACORN-D,2
MAC000858,ACORN-K,1
MAC000859,ACORN-F,2
MAC000860,ACORN-N,1
MAC000861,ACORN-E,2
MAC000862,ACORN-H,2
MAC000863,ACORN-D,0
MAC000864,ACORN-E,2
MAC000865,ACORN-L,1
MAC000866,ACORN-D,2
MAC000867,ACORN-K,1
MAC000868,ACORN-E,2
MAC000869,ACORN-P,1
MAC000870,ACORN-Q,1
MAC000871,ACORN-D,2
MAC000872,ACORN-K,1
MAC000873,ACORN-P,1
MAC000874,ACORN-F,2
MAC000875,ACORN-E,2
MAC000876,ACORN-J,2
MAC000877,ACORN-E,2
MAC000878,ACORN-E,2
MAC000879,ACORN-Q,1
MAC000880,ACORN-F,2
MAC000881,ACORN-K,1
MAC000882,ACORN-H,2
MAC000883,ACORN-D,0
MAC000884,ACORN-D,0
MAC000885,ACORN-J,0
MAC000886,ACORN-A,0
MAC000887,ACORN-F,2
MAC000888,ACORN-D,0
MAC000889,ACORN-Q,1
MAC000890,ACORN-Q,1
MAC000891,ACORN-Q,1
MAC000892,ACORN-E,0
MAC000893,ACORN-L,1
MAC000894,ACORN-Q,1
MAC000895,ACORN-E,2
MAC000896,ACORN-E,2
MAC000897,ACORN-B,2
MAC000898,ACORN-K,1
MAC000899,ACORN-H,2
MAC000900,ACORN-G,2
MAC000901,ACORN-F,2
MAC000902,ACORN-A,0
MAC000903,ACORN-E,2
MAC000904,ACORN-F,0
MAC000905,ACORN-E,2
MAC000906,ACORN-Q,1
MAC000907,ACORN-H,2
MAC000908,ACORN-H,2
MAC000909,ACORN-I,2
MAC000910,ACORN-E,2
MAC000911,ACORN-M,1
MAC000912,ACORN-K,1
MAC000913,ACORN-N,1
MAC000914,ACORN-H,2
MAC000915,ACORN-Q,1
MAC000916,ACORN-E,0
MAC000917,ACORN-F,2
MAC000918,ACORN-E,2
